Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2I7N3;CON__REFSEQ:XP_001252647	CON__A2I7N3;CON__REFSEQ:XP_001252647	5;3	4;2	3;1	;	2	5	4	3	10.3	8.4	6.7	46.941	417	417;417	0	24.939	287160000	5			+	0	2666;5662;10498;12404;13249	True;True;True;False;True	2705;5741;10648;12575;13454	3160;6745;6746;12729;15005;16031	3578;7567;7568;14322;16879;18002	3578;7568;14322;16879;18002		
CON__ENSEMBL:ENSBTAP00000016046	CON__ENSEMBL:ENSBTAP00000016046	1	1	1		1	1	1	1	3.3	3.3	3.3	77.456	706	706	0.0019455	6.7341	28809000	1			+	1	871	True	884	1025	1144	1144		
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229;tr|D6RBJ7|D6RBJ7_HUMAN;sp|P02774-2|VTDB_HUMAN;sp|P02774|VTDB_HUMAN;tr|D6RF35|D6RF35_HUMAN;sp|P02774-3|VTDB_HUMAN	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	12;12;2;2;2;2;2	12;12;2;2;2;2;2	12;12;2;2;2;2;2	;	7	12	12	12	34.8	34.8	34.8	53.341	474	474;475;348;352;474;476;493	0	131.24	1627700000	14			+	2	2028;3199;5332;6480;7337;7666;7667;7998;15818;16381;19283;19675	True;True;True;True;True;True;True;True;True;True;True;True	2055;3245;5406;6576;7440;7777;7778;8114;16066;16637;19596;19993	2396;3796;6354;7764;8790;9217;9218;9645;19069;19755;19756;23319;23780;23781	2704;4292;7130;8735;9904;10386;10387;10388;10898;21376;22153;22154;26161;26674;26675;26676	2704;4292;7130;8735;9904;10386;10388;10898;21376;22154;26161;26675		
CON__ENSEMBL:ENSBTAP00000024146;sp|P01023|A2MG_HUMAN;tr|H0YGH6|H0YGH6_HUMAN;sp|P20742|PZP_HUMAN;tr|F5GXY0|F5GXY0_HUMAN;sp|P20742-2|PZP_HUMAN	CON__ENSEMBL:ENSBTAP00000024146	39;4;2;2;1;1	39;4;2;2;1;1	39;4;2;2;1;1		6	39	39	39	41.9	41.9	41.9	164.34	1477	1477;1474;200;1482;144;1268	0	323.31	3900200000	47			+	3	827;1066;1376;1557;1768;1817;2513;2620;2821;2851;2969;3155;3159;3856;6696;6888;7316;7943;8849;9189;11547;11671;11919;12187;13460;13559;14045;15108;15216;16174;16428;16638;16906;18081;18977;19799;19874;19953;20518	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	840;1081;1396;1579;1792;1842;2551;2659;2860;2890;3011;3201;3205;3908;6792;6986;7419;8059;8978;9324;11708;11832;12086;12358;13676;13778;14273;15347;15456;16429;16685;16901;17172;18371;19286;20117;20193;20272;20847	974;1254;1643;1854;2089;2148;2976;3106;3348;3385;3523;3743;3748;3749;4588;8026;8255;8256;8764;9583;10665;11078;14007;14142;14427;14428;14759;16288;16409;16410;16987;18218;18339;19484;19806;20063;20373;21820;21821;22930;23925;24018;24113;24796	1082;1402;1849;2101;2354;2419;3372;3520;3787;3828;3984;4231;4236;4237;5188;9026;9027;9283;9284;9877;10828;10829;12031;12504;15784;15785;15927;16251;16252;16613;18288;18289;18427;18428;19074;20414;20548;21846;22206;22490;22843;22844;24467;24468;25742;26835;26938;27046;27825	1082;1402;1849;2101;2354;2419;3372;3520;3787;3828;3984;4231;4236;5188;9026;9284;9877;10829;12031;12504;15785;15927;16252;16613;18288;18427;19074;20414;20548;21846;22206;22490;22843;24468;25742;26835;26938;27046;27825		
CON__P00735;tr|E9PIT3|E9PIT3_HUMAN;sp|P00734|THRB_HUMAN	CON__P00735	4;1;1	4;1;1	4;1;1		3	4	4	4	11.4	11.4	11.4	70.505	625	625;583;622	0	30.41	253250000	4			+	4	4752;9062;15563;20596	True;True;True;True	4812;9193;15809;20925	5650;10924;18768;24887	6356;12324;21044;27927	6356;12324;21044;27927		
CON__P00978;sp|P02760|AMBP_HUMAN	CON__P00978	4;1	4;1	4;1		2	4	4	4	13.9	13.9	13.9	39.234	352	352;352	0	37.233	219500000	4			+	5	3537;4905;17104;18260	True;True;True;True	3584;4968;17374;18552	4207;5826;20611;22034	4750;6545;23112;24709	4750;6545;23112;24709		
CON__Q2KJ62;CON__P01044-1;CON__P01045-1	CON__Q2KJ62;CON__P01044-1;CON__P01045-1	5;5;3	5;5;3	5;5;3	;;	3	5	5	5	11.6	11.6	11.6	68.964	621	621;621;619	0	42.734	260020000	5			+	6	1804;3089;10506;16150;16522	True;True;True;True;True	1829;3133;10656;16405;16780	2131;3667;12738;19460;19925	2401;4147;14331;21818;22339	2401;4147;14331;21818;22339		
CON__P01966;tr|G3V1N2|G3V1N2_HUMAN;sp|P69905|HBA_HUMAN;sp|P02008|HBAZ_HUMAN	CON__P01966;tr|G3V1N2|G3V1N2_HUMAN;sp|P69905|HBA_HUMAN	8;4;4;1	8;4;4;1	8;4;4;1	;tr|G3V1N2|G3V1N2_HUMAN HCG1745306, isoform CRA_a OS=Homo sapiens GN=HBA2 PE=1 SV=1;sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2	4	8	8	8	77.5	77.5	77.5	15.184	142	142;110;142;142	0	110.94	4874700000	14			+	7	1829;11653;12137;12958;18386;18694;18954;19423	True;True;True;True;True;True;True;True	1854;11814;12307;13144;13145;18684;18999;19263;19736	2161;2162;2163;14122;14696;15668;15669;22204;22205;22206;22591;22903;22904;23480	2433;2434;2435;15907;16543;17611;17612;24922;24923;24924;25357;25709;25710;26342	2435;15907;16543;17612;24924;25357;25710;26342	0	33
CON__P02769;tr|H0YA55|H0YA55_HUMAN;sp|P02768|ALBU_HUMAN;CON__P02768-1;tr|C9JKR2|C9JKR2_HUMAN;sp|P02768-2|ALBU_HUMAN;tr|D6RHD5|D6RHD5_HUMAN;tr|B7WNR0|B7WNR0_HUMAN;tr|H7C013|H7C013_HUMAN	CON__P02769	59;5;5;5;4;4;4;4;1	59;5;5;5;4;4;4;4;1	59;5;5;5;4;4;4;4;1		9	59	59	59	78.7	78.7	78.7	69.293	607	607;454;609;609;417;417;459;494;197	0	323.31	183780000000	212			+	8	402;1687;2026;2033;2034;2314;2335;2336;2416;2417;2421;2827;3157;3363;3525;3526;3527;4754;4909;4910;4911;5340;5867;6636;7560;7625;7644;10062;10208;10538;10876;10957;11305;11344;11345;12551;12609;13224;13547;13548;14385;14674;14675;15035;15190;15446;15449;15545;16199;16200;16454;17271;18314;19055;19669;20669;20819;20857;20858	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	406;1711;2053;2060;2061;2347;2368;2369;2451;2452;2456;2866;3203;3409;3571;3572;3573;4814;4815;4972;4973;4974;5414;5951;6732;7668;7734;7753;10206;10352;10688;11030;11112;11464;11503;11504;12724;12782;13428;13429;13766;13767;14619;14911;14912;15274;15430;15689;15692;15791;16454;16455;16711;17544;18607;18608;19364;19987;21000;21150;21190;21191	472;1998;2393;2394;2402;2403;2404;2740;2741;2742;2743;2744;2745;2746;2770;2771;2861;2862;2863;2864;2869;3356;3745;3746;3996;4187;4188;4189;4190;4191;4192;4193;4194;5652;5653;5830;5831;5832;5833;6365;6366;6985;7949;7950;7951;7952;7953;9073;9074;9156;9157;9184;9185;12198;12199;12380;12381;12772;13173;13174;13175;13279;13280;13281;13282;13283;13284;13285;13699;13700;13701;13702;13753;13754;13755;13756;13757;13758;15179;15250;16001;16002;16003;16004;16005;16394;16395;16396;16397;17380;17716;17717;17718;17719;17720;17721;18138;18311;18614;18615;18616;18621;18622;18746;18747;18748;19518;19519;19520;19521;19522;19842;19843;20813;20814;22100;22101;22102;22103;23027;23028;23772;24984;25155;25202;25203;25204	530;2255;2256;2699;2700;2701;2702;2711;2712;2713;3085;3086;3087;3088;3089;3090;3091;3092;3093;3094;3095;3096;3097;3098;3099;3100;3101;3102;3103;3133;3134;3135;3136;3243;3244;3245;3246;3247;3252;3795;4233;4234;4516;4724;4725;4726;4727;4728;4729;4730;4731;4732;4733;6358;6359;6549;6550;6551;6552;6553;6554;7141;7142;7844;8937;8938;8939;8940;8941;8942;8943;8944;8945;10223;10224;10225;10226;10317;10318;10348;10349;10350;13740;13741;13742;13743;13936;13937;13938;13939;14366;14367;14833;14834;14835;14836;14837;14838;14839;14953;14954;14955;14956;14957;14958;14959;14960;14961;14962;14963;14964;15430;15431;15432;15433;15434;15435;15492;15493;15494;15495;15496;15497;15498;15499;15500;15501;15502;15503;15504;15505;15506;17075;17076;17156;17968;17969;17970;17971;17972;17973;17974;17975;17976;18411;18412;18413;18414;18415;19493;19863;19864;19865;19866;19867;19868;19869;19870;19871;19872;20331;20519;20520;20871;20872;20873;20874;20875;20876;20877;20878;20884;20885;21017;21018;21019;21020;21021;21022;21023;21882;21883;21884;21885;21886;21887;21888;21889;21890;21891;22246;22247;22248;22249;23345;23346;23347;23348;24785;24786;24787;24788;24789;24790;24791;25845;25846;26666;28034;28220;28221;28273;28274;28275;28276;28277	530;2255;2702;2711;2712;3087;3133;3136;3243;3247;3252;3795;4234;4516;4724;4728;4733;6359;6549;6552;6554;7141;7844;8938;10225;10317;10349;13741;13937;14367;14837;14953;15432;15497;15504;17075;17156;17974;18411;18415;19493;19866;19869;20331;20519;20873;20884;21018;21882;21891;22249;23346;24789;25846;26666;28034;28221;28273;28277	1;2;3	111;469;571
CON__P02777	CON__P02777	2	2	2		1	2	2	2	15.7	15.7	15.7	24.241	230	230	0	23.524	484110000	4			+	9	7444;9682	True;True	7549;9822	8925;8926;11714;11715	10058;10059;13204;13205	10058;13205		
